num,id,slug,name,category,folder,image_count,available_images
52,ba-sl-300,ballarini-salina-pfannenset-3-teilig,Ballarini Salina Pfannenset 3-teilig – Granitium Ti-X,kochen,Ballarini Salina Pfannenset 3-teilig – Granitium Ti-X,4,"1.png, 2.png, 3.png, 4.png"
57,ko-jo-280,kopf-josie-pfanne-28cm,Kopf Josie Pfanne 28 cm – ILAG Ultimate Beschichtung,kochen,Kopf Josie Pfanne 28 cm – ILAG Ultimate Beschichtung,3,"1.png, 2.png, 3.png"
58,wmf-pp-200,wmf-provence-plus-kochtopf-20cm,WMF Provence Plus Kochtopf 20 cm – Cromargan® Edelstahl,kochen,WMF Provence Plus Kochtopf 20cm - Cromargan Edelstahl,3,"1.png, 2.png, 3.png"
59,zw-neo-300,zwilling-neo-kochtopfset-3-teilig,ZWILLING Neo Kochtopfset 3-teilig – mattierter Edelstahl,kochen,ZWILLING Neo Kochtopfset 3-teilig - mattierter Edelstahl,3,"1.png, 2.png, 3.png"
64,gsw-mo-240,gsw-montan-bratentopf-24cm,GSW Montan Bratentopf 24 cm – Aluguss robust,kochen,GSW Montan Bratentopf 24 cm – Aluguss robust,3,"1.png, 2.png, 3.png"
65,kr-set-800,krueger-pfannen-und-topfset-8-teilig,Krüger Pfannen- und Topfset 8-teilig – Schwarz,kochen,Krüger Pfannen- und Topfset 8-teilig – Schwarz,3,"1.png, 2.png, 3.png"
66,gsw-ce-160,gsw-ceramica-kasserolle-16cm,GSW Ceramica Kasserolle 16 cm – Keramikbeschichtung,kochen,GSW Ceramica Kasserolle 16 cm – Keramikbeschichtung,3,"1.png, 2.png, 3.png"
67,wmf-f4-240,wmf-function-4-bratentopf-24cm,WMF Function 4 Bratentopf 24 cm – 4 Funktionen,kochen,WMF Function 4 Bratentopf 24 cm – 4 Funktionen,3,"1.png, 2.png, 3.png"
68,wmf-ma-360,wmf-macao-wok-36cm,WMF Macao Wok 36 cm – Cromargan® mit Ablagerost,kochen,WMF Macao Wok 36cm - Cromargan mit Ablagerost,2,"1.png, 2.png"
69,zw-pl-320,zwilling-plus-wok-32cm,ZWILLING Plus Wok 32 cm – 3-Schicht-Material,kochen,ZWILLING Plus Wok 32cm - 3-Schicht-Material,3,"1.png, 2.png, 3.png"
70,tf-dc-280,tefal-daily-chef-wok-28cm,Tefal Daily Chef Wok 28 cm – Titanium Beschichtung,kochen,Tefal Daily Chef Wok 28 cm – Titanium Beschichtung,3,"1.png, 2.png, 3.png"
71,ko-ma-400,kopf-marra-wok-set-4-teilig,Kopf Marra Wok-Set 4-teilig – Aluguss antihaft,kochen,Kopf Marra Wok-Set 4-teilig – Aluguss antihaft,3,"1.png, 2.png, 3.png"
72,gsw-gb-350,gsw-gastrobraeter-35x25cm,GSW Gastrobräter 35 x 25 cm – Edelstahl mit Deckel,kochen,GSW Gastrobräter 35 x 25 cm – Edelstahl mit Deckel,2,"1.png, 2.png"
73,ro-el-280,roesle-elegance-grillpfanne-28cm,Rösle Elegance Grillpfanne 28 cm – ProPlex®,kochen,Rösle Elegance Grillpfanne 28 cm – ProPlex®,2,"1.png, 2.png"
74,wmf-gr-270,wmf-grillpfanne-27x27cm,WMF Grillpfanne 27 x 27 cm – Cromargan® quadratisch,kochen,WMF Grillpfanne 27 x 27 cm – Cromargan® quadratisch,3,"1.png, 2.png, 3.png"
75,lo-gr-260,lodge-grillpfanne-quadratisch-26cm,"Lodge Gusseisen-Grillpfanne 26 cm – Quadratisch, USA",kochen,"Lodge Gusseisen-Grillpfanne 26 cm – Quadratisch, USA",2,"1.png, 2.png"
76,be-bi-280,berndes-balance-induction-grillpfanne-28cm,Berndes Balance Induction Grillpfanne 28 cm – Antihaft,kochen,Berndes Balance Induction Grillpfanne 28 cm – Antihaft,3,"1.png, 2.png, 3.png"
77,wmf-pp-330,wmf-profi-plus-pfannenwender,WMF Profi Plus Pfannenwender 33 cm – Cromargan®,zubehoer,WMF Profi Plus Pfannenwender 33cm - Cromargan,3,"1.png, 2.png, 3.png"
78,zw-pro-scoop,zwilling-pro-schoepfloeffel,ZWILLING Pro Schöpflöffel – Edelstahl 18/10,zubehoer,ZWILLING Pro Schoepfloeffel - Edelstahl 18-10,3,"1.png, 2.png, 3.png"
79,fi-mag-prot,fissler-magic-pfannenschutz-set-3-teilig,Fissler Magic Pfannenschutz-Set 3-teilig – Vlies,zubehoer,Fissler Magic Pfannenschutz-Set 3-teilig – Vlies,3,"1.png, 2.png, 3.png"
80,wmf-sil-trivet,wmf-topfuntersetzer-silikon-2-teilig,WMF Topfuntersetzer Silikon 2-teilig – Hitzebeständig,zubehoer,WMF Topfuntersetzer Silikon 2-teilig - Hitzebestaendig,3,"1.png, 2.png, 3.png"
81,ro-pw-sil,roesle-pfannenwender-silikon,Rösle Pfannenwender Silikon – hitzebeständig bis 260°C,zubehoer,Rösle Pfannenwender Silikon – hitzebeständig bis 260°C,3,"1.png, 2.png, 3.png"
82,tf-ig-2set,tefal-ingenio-griffset-2-teilig,Tefal Ingenio Griffset 2-teilig – Schwarz,zubehoer,Tefal Ingenio Griffset 2-teilig – Schwarz,2,"1.png, 2.png"
83,wmf-ind-prot,wmf-induktionskochfeld-schutzmatte,WMF Induktionskochfeld-Schutzmatte – Silikon,zubehoer,WMF Induktionskochfeld-Schutzmatte - Silikon,4,"1.png, 2.png, 3.png, 4.png"
84,zw-tp-wender,zwilling-twin-prof-pfannenwender,ZWILLING Twin Prof Pfannenwender – Flexibel,zubehoer,ZWILLING Twin Prof Pfannenwender - Flexibel,4,"1.png, 2.png, 3.png, 4.png"
85,fi-mag-stack,fissler-magic-pfannenstapelhilfe,Fissler Magic Pfannenstapelhilfe – Metall verchromt,zubehoer,Fissler Magic Pfannenstapelhilfe – Metall verchromt,2,"1.png, 2.png"
86,wmf-hello-steam,wmf-hello-functionals-dampfgareinsatz,WMF Hello FUNctionals Dampfgareinsatz – Faltbar,zubehoer,WMF Hello FUNctionals Dampfgareinsatz - Faltbar,2,"1.png, 2.png"
87,be-vc-200,berndes-vario-click-induction-pfanne-20cm,Berndes Vario Click Induction Pfanne 20 cm – Aluguss,kochen,Berndes Vario Click Induction Pfanne 20 cm – Aluguss,3,"1.png, 2.png, 3.png"
90,ko-jo-700,kopf-josie-kochtopfset-7-teilig,Kopf Josie Kochtopfset 7-teilig – Aluguss abnehmbare Griffe,kochen,Kopf Josie Kochtopfset 7-teilig – Aluguss abnehmbare Griffe,3,"1.png, 2.png, 3.png"
91,wmf-pp-160,wmf-provence-plus-stielkasserolle-16cm,WMF Provence Plus Stielkasserolle 16 cm – Cromargan®,kochen,WMF Provence Plus Stielkasserolle 16cm - Cromargan,3,"1.png, 2.png, 3.png"
92,zw-neo-160,zwilling-neo-stielkasserolle-16cm,ZWILLING Neo Stielkasserolle 16 cm – mattierter Edelstahl,kochen,ZWILLING Neo Stielkasserolle 16cm - mattierter Edelstahl,4,"1.png, 2.png, 3.png, 4.png"
93,si-sico-250,silit-sicomatic-t-plus-schnellkochtopf-2-5l,"Silit Sicomatic® t-plus Schnellkochtopf 2,5 L – Silargan®",kochen,"Silit Sicomatic t-plus Schnellkochtopf 2,5 L – Silargan®",2,"1.png, 2.png"
94,fi-vv-450,fissler-vitavit-premium-schnellkochtopf-4-5l,"Fissler Vitavit® Premium Schnellkochtopf 4,5 L – Induktion",kochen,"Fissler Vitavit Premium Schnellkochtopf 4,5 L – Induktion",3,"1.png, 2.png, 3.png"
96,elo-ml-200,elo-multilayer-bratentopf-20cm,ELO Multilayer Bratentopf 20 cm – 3-Schicht-Material,kochen,ELO Multilayer Bratentopf 20 cm – 3-Schicht-Material,3,"1.png, 2.png, 3.png"
99,zw-plus-wok-320,zwilling-plus-wok-32cm-induktion,ZWILLING Plus Wok 32 cm – SIGMA Clad 3-Schicht,kochen,ZWILLING Plus Wok 32cm - SIGMA Clad 3-Schicht,3,"1.png, 2.png, 3.png"
100,tf-daily-wok-280,tefal-daily-chef-wok-28cm-antihaft,Tefal Daily Chef Wok 28 cm – Titanium Antihaft,kochen,Tefal Daily Chef Wok 28 cm – Titanium Antihaft,3,"1.png, 3.png, 4.png"
101,ko-marra-set,kopf-marra-wok-set-4-teilig-aluguss,Kopf Marra Wok-Set 4-teilig – Aluguss massiv,kochen,Kopf Marra Wok-Set 4-teilig – Aluguss massiv,3,"1.png, 2.png, 3.png"
102,gsw-gastro-35,gsw-gastrobraeter-edelstahl-35x25cm,GSW Gastrobräter 35 x 25 cm – Edelstahl massiv,kochen,GSW Gastrobräter 35 x 25 cm – Edelstahl massiv,3,"1.png, 2.png, 3.png"
103,ro-elegance-grill,roesle-elegance-grillpfanne-28cm-antihaft,Rösle Elegance Grillpfanne 28 cm – Edelstahl,kochen,Rösle Elegance Grillpfanne 28 cm – Edelstahl,3,"1.png, 2.png, 3.png"
104,wmf-grill-27,wmf-grillpfanne-quadratisch-27cm,WMF Grillpfanne 27 x 27 cm – Cromargan®,kochen,WMF Grillpfanne 27 x 27 cm – Cromargan® quadratisch,3,"1.png, 2.png, 3.png"
105,lo-lodge-grill,lodge-gusseisen-grillpfanne-quadratisch-26cm,Lodge Gusseisen-Grillpfanne 26 cm – Quadratisch,kochen,Lodge Gusseisen-Grillpfanne 26 cm – Quadratisch,2,"1.png, 2.png"
106,be-balance-grill,berndes-balance-induction-grillpfanne-28cm-alu,Berndes Balance Induction Grillpfanne 28 cm – Aluguss,kochen,Berndes Balance Induction Grillpfanne 28 cm – Aluguss,4,"1.png, 2.png, 3.png, 4.png"
107,wmf-prof-wender,wmf-profi-plus-pfannenwender-edelstahl-33cm,WMF Profi Plus Pfannenwender 33 cm – Edelstahl,zubehoer,WMF Profi Plus Pfannenwender 33cm - Edelstahl,3,"1.png, 2.png, 3.png"
108,zw-pro-schoepf,zwilling-pro-schoepfloeffel-edelstahl,ZWILLING Pro Schöpflöffel – Edelstahl 18/10,zubehoer,ZWILLING Pro Schoepfloeffel - Edelstahl 18-10,3,"1.png, 2.png, 3.png"
109,fi-magic-set,fissler-magic-pfannenschutz-set-vlies-3-teilig,Fissler Magic Pfannenschutz-Set 3-teilig – Textil,zubehoer,Fissler Magic Pfannenschutz-Set 3-teilig – Textil,2,"1.png, 2.png"
110,wmf-twin-pw,wmf-twin-prof-pfannenwender-edelstahl,WMF Twin Prof Pfannenwender – Edelstahl 18/10,zubehoer,WMF Twin Prof Pfannenwender - Edelstahl 18-10,3,"1.png, 2.png, 3.png"
111,fi-stack-pro,fissler-magic-pfannenstapelhilfe-edelstahl,Fissler Magic Pfannenstapelhilfe – Edelstahl Design,zubehoer,Fissler Magic Pfannenstapelhilfe – Edelstahl Design,3,"1.png, 2.png, 3.png"
112,wmf-hello-steam-24,wmf-hello-functionals-dampfgareinsatz-24cm,WMF Hello FUNctionals Dampfgareinsatz – Edelstahl,zubehoer,WMF Hello FUNctionals Dampfgareinsatz 24cm - Edelstahl,2,"1.png, 2.png"
